position,x,y,z,rmse_vx,rmse_vy,rmse_vz,sample_count,mean_vx,mean_vy,mean_vz
"(-81, -4, 11)",-81,-4,11,0.023423573,0.018074997,0.007448125,125,0.50125015,0.42525598,0.42587957
"(-78, -4, 11)",-78,-4,11,0.025892373,0.018767023,0.008190986,125,0.5150355,0.4787798,0.42940718
"(-74, -4, 11)",-74,-4,11,0.026130883,0.016432943,0.009097685,125,0.52671415,0.5256504,0.43281922
"(-70, -4, 11)",-70,-4,11,0.023240775,0.014512021,0.009999473,125,0.53199786,0.55604243,0.43520287
"(-66, -4, 11)",-66,-4,11,0.01812057,0.015936285,0.010616609,125,0.53032154,0.56638426,0.43604943
"(-62, -4, 11)",-62,-4,11,0.01374694,0.018748738,0.0113142785,125,0.52396196,0.55652505,0.43463948
"(-58, -4, 11)",-58,-4,11,0.010732796,0.019842438,0.011815373,125,0.5169027,0.52905554,0.43125078
"(-54, -4, 11)",-54,-4,11,0.009594617,0.017200511,0.0113856,125,0.5146986,0.49269307,0.4268812
"(-50, -4, 11)",-50,-4,11,0.009976154,0.012305452,0.009966793,125,0.5197445,0.45808667,0.42274728
"(-46, -4, 11)",-46,-4,11,0.010338933,0.010873411,0.008021406,125,0.5303077,0.43296272,0.41935605
"(-42, -4, 11)",-42,-4,11,0.00989727,0.0119823525,0.0066634095,125,0.5423074,0.41850892,0.416817
"(-38, -4, 11)",-38,-4,11,0.008492195,0.011914053,0.0066449093,125,0.55183786,0.4122243,0.4150349
"(-34, -4, 11)",-34,-4,11,0.008235443,0.0099865375,0.0070566116,125,0.55627334,0.41129303,0.4138306
"(-30, -4, 11)",-30,-4,11,0.009831436,0.008223567,0.007543196,125,0.5547286,0.41283306,0.41348904
"(-26, -4, 11)",-26,-4,11,0.011442593,0.007818544,0.007953565,125,0.54859126,0.4152204,0.41420594
"(-22, -4, 11)",-22,-4,11,0.012686223,0.009336342,0.008447605,125,0.54117525,0.41741914,0.41639987
"(-18, -4, 11)",-18,-4,11,0.013348438,0.011733127,0.008397163,125,0.53544366,0.4190449,0.41985264
"(-14, -4, 11)",-14,-4,11,0.013693922,0.013705175,0.007490336,125,0.5326296,0.42140096,0.4235763
"(-10, -4, 11)",-10,-4,11,0.01341803,0.014056094,0.0060543157,125,0.53263575,0.42589566,0.42648295
"(-6, -4, 11)",-6,-4,11,0.01234597,0.012576054,0.004965622,125,0.5344024,0.4330362,0.42770118
"(-2, -4, 11)",-2,-4,11,0.010812369,0.009448419,0.005030869,125,0.5363907,0.4421278,0.4268417
"(2, -4, 11)",2,-4,11,0.009232519,0.0057681645,0.0053647347,125,0.53813654,0.45112962,0.42465648
"(6, -4, 11)",6,-4,11,0.008291654,0.003584274,0.0048244875,125,0.53900325,0.45727387,0.42221108
"(10, -4, 11)",10,-4,11,0.007595347,0.0037573434,0.0035167004,125,0.538921,0.45860457,0.4202822
"(14, -4, 11)",14,-4,11,0.00672671,0.0043671587,0.002498487,125,0.5385494,0.4555964,0.41939756
"(18, -4, 11)",18,-4,11,0.006020907,0.00459737,0.003066366,125,0.53870374,0.45031303,0.4196072
"(22, -4, 11)",22,-4,11,0.0057782102,0.005153203,0.0046290755,125,0.5399919,0.44507924,0.42036405
"(25, -4, 11)",25,-4,11,0.005603334,0.0057568015,0.006773997,125,0.54242706,0.4409803,0.42110232
"(29, -4, 11)",29,-4,11,0.0054678842,0.006236709,0.009314699,125,0.5457409,0.43753618,0.4217798
"(33, -4, 11)",33,-4,11,0.0049905684,0.006702553,0.011735949,125,0.549246,0.43362096,0.42260128
"(37, -4, 11)",37,-4,11,0.0043140114,0.0075941277,0.013683721,125,0.55249256,0.42856887,0.42403725
